X,Y,name,lat,lon,descr,length (m),route_names,walking_distances,shortest_walking_distance
-106.563914,39.624792,,39.624791999999999,-106.563913999999997,start,2516.972809657331254,"Highway 6(ECO Transit),Highway 6(ECO Transit),Highway 6(ECO Transit),","2.578,3.229,3.053,",2.578
-106.551073,39.621456,,39.621456000000002,-106.551073000000002,end,2516.972809657331254,"Highway 6(ECO Transit),Highway 6(ECO Transit),Highway 6(ECO Transit),","5.748,5.767,5.748,",5.748
-106.5657377,39.6173193,,39.617319299999998,-106.565737700000000,start,609.133271719162849,"Highway 6(ECO Transit),Highway 6(ECO Transit),Highway 6(ECO Transit),","3.956,4.607,4.431,",3.956
-106.562662,39.619983,,39.619982999999998,-106.562662000000003,end,609.133271719162849,"Highway 6(ECO Transit),Highway 6(ECO Transit),Highway 6(ECO Transit),","4.327,3.676,4.346,",3.676
-106.077051,39.5784103,,39.578410300000002,-106.077050999999997,start,186.783472631641331,"CDOT West Line (DAILY)(Bustang),","3.372,",3.372
-106.0768258,39.5782097,,39.578209700000002,-106.076825799999995,end,186.783472631641331,"CDOT West Line (DAILY)(Bustang),","3.398,",3.398
-106.0816993,39.5375966,Peaks Trail,39.537596600000001,-106.081699299999997,start,2278.255373356236760,"CDOT West Line (DAILY)(Bustang),","7.041,",7.041
-106.0744485,39.5463232,Peaks Trail,39.546323200000003,-106.074448500000003,end,2278.255373356236760,"CDOT West Line (DAILY)(Bustang),","6.776,",6.776
-106.0788994,39.5773268,Hole 7,39.577326800000002,-106.078899399999997,start,168.937950974922842,"CDOT West Line (DAILY)(Bustang),","3.122,",3.122
-106.0788344,39.5776875,Hole 7,39.577687500000003,-106.078834400000005,end,168.937950974922842,"CDOT West Line (DAILY)(Bustang),","3.122,",3.122
-106.0790633,39.5742367,,39.574236700000000,-106.079063300000001,start,69.495006722481179,"CDOT West Line (DAILY)(Bustang),","2.986,",2.986
-106.0783393,39.5739612,,39.573961199999999,-106.078339299999996,end,69.495006722481179,"CDOT West Line (DAILY)(Bustang),","3.016,",3.016
-106.4746662,39.5890799,Whiskey creek,39.589079900000002,-106.474666200000001,start,6429.016611489394563,"Highway 6(ECO Transit),Highway 6(ECO Transit),Highway 6(ECO Transit),","6.786,6.793,7.46,",6.786
-106.475644,39.619536,Whiskey creek,39.619535999999997,-106.475644000000003,end,6429.016611489394563,"Highway 6(ECO Transit),Highway 6(ECO Transit),Highway 6(ECO Transit),","2.501,2.508,1.834,",1.834
-106.0808113,39.5753587,,39.575358700000002,-106.080811299999993,start,168.907385043403792,"CDOT West Line (DAILY)(Bustang),","2.792,",2.792
-106.0803875,39.5754414,,39.575441400000003,-106.080387500000001,end,168.907385043403792,"CDOT West Line (DAILY)(Bustang),","2.792,",2.792
-106.4153541,39.6369316,North Trail,39.636931599999997,-106.415354100000002,start,1112.005016847583647,"Highway 6(ECO Transit),Highway 6(ECO Transit),Leadville(ECO Transit),Valley  Commuter(ECO Transit),Highway 6(ECO Transit),Leadville(ECO Transit),Valley  Commuter(ECO Transit),","2.843,3.163,3.163,3.163,3.679,3.679,3.679,",2.843
-106.4212099,39.6313893,North Trail,39.631389300000002,-106.421209899999994,end,1112.005016847583647,"Highway 6(ECO Transit),Leadville(ECO Transit),Valley  Commuter(ECO Transit),Highway 6(ECO Transit),Highway 6(ECO Transit),Leadville(ECO Transit),Valley  Commuter(ECO Transit),","2.049,2.049,2.049,1.729,2.565,2.565,2.565,",1.729
-106.0780567,39.57822,,39.578220000000002,-106.078056700000005,start,150.971996033549402,"CDOT West Line (DAILY)(Bustang),","3.366,",3.366
-106.077695,39.5778911,,39.577891100000002,-106.077695000000006,end,150.971996033549402,"CDOT West Line (DAILY)(Bustang),","3.366,",3.366
-106.504526,39.59512,EagleVail Trail,39.595120000000001,-106.504525999999998,start,5892.172596862104911,"Highway 6(ECO Transit),Highway 6(ECO Transit),Highway 6(ECO Transit),","6.291,6.315,6.944,",6.291
-106.506306,39.622997,EagleVail Trail,39.622996999999998,-106.506305999999995,end,5892.172596862104911,"Highway 6(ECO Transit),Highway 6(ECO Transit),Highway 6(ECO Transit),","0.396,0.42,1.049,",0.396
-106.1163801,39.5758042,North Ten Mile Trail,39.575804200000000,-106.116380100000001,start,5428.273806318184143,"CDOT West Line (DAILY)(Bustang),","3.109,",3.109
-106.5491583,39.6406922,,39.640692199999997,-106.549158300000002,start,1407.924411635974366,"Highway 6(ECO Transit),Highway 6(ECO Transit),Highway 6(ECO Transit),","5.241,5.153,5.026,",5.026
-106.5392129,39.6398686,,39.639868600000000,-106.539212899999995,end,1407.924411635974366,"Highway 6(ECO Transit),Highway 6(ECO Transit),Highway 6(ECO Transit),","3.892,3.921,3.214,",3.214
-106.5587043,39.6464531,,39.646453100000002,-106.558704300000002,start,1442.414030249639382,"Highway 6(ECO Transit),Highway 6(ECO Transit),Highway 6(ECO Transit),","3.058,3.771,3.859,",3.058
-106.5490491,39.6410568,,39.641056800000001,-106.549049100000005,end,1442.414030249639382,"Highway 6(ECO Transit),Highway 6(ECO Transit),Highway 6(ECO Transit),","5.2,5.112,5.067,",5.067
-106.5488714,39.6403761,,39.640376099999997,-106.548871399999996,start,1840.941452023902912,"Highway 6(ECO Transit),Highway 6(ECO Transit),Highway 6(ECO Transit),","5.317,5.229,4.95,",4.95
-106.5422027,39.6525408,,39.652540799999997,-106.542202700000004,end,1840.941452023902912,"Highway 6(ECO Transit),Highway 6(ECO Transit),Highway 6(ECO Transit),","6.793,6.822,7.16,",6.793
-106.0928632,39.5792699,,39.579269900000000,-106.092863199999996,start,3429.111140436910773,"CDOT West Line (DAILY)(Bustang),","1.303,",1.303
-106.0759195,39.5707381,,39.570738100000000,-106.075919499999998,end,3429.111140436910773,"CDOT West Line (DAILY)(Bustang),","3.649,",3.649
-106.0518583,39.6264237,,39.626423699999997,-106.051858300000006,start,728.841490980045251,"CDOT West Line (DAILY)(Bustang),","6.607,",6.607
-106.0447544,39.6256748,,39.625674799999999,-106.044754400000002,end,728.841490980045251,"CDOT West Line (DAILY)(Bustang),","7.171,",7.171
-106.0786949,39.5788492,,39.578849200000001,-106.078694900000002,start,152.074447275175260,"CDOT West Line (DAILY)(Bustang),","3.366,",3.366
-106.0783221,39.5787024,,39.578702399999997,-106.078322099999994,end,152.074447275175260,"CDOT West Line (DAILY)(Bustang),","3.366,",3.366
-106.0654565,39.5902899,Switchback,39.590289900000002,-106.065456499999996,start,830.475605327354060,"CDOT West Line (DAILY)(Bustang),","5.88,",5.88
-106.0683555,39.5882012,Switchback,39.588201200000000,-106.068355499999996,end,830.475605327354060,"CDOT West Line (DAILY)(Bustang),","5.134,",5.134
-106.0914253,39.566969,Temple Trail,39.566969000000000,-106.091425299999997,start,1018.751397203202828,"CDOT West Line (DAILY)(Bustang),","2.817,",2.817
-106.0802485,39.5688208,Temple Trail,39.568820799999997,-106.080248499999996,end,1018.751397203202828,"CDOT West Line (DAILY)(Bustang),","3.438,",3.438
-106.0644676,39.5893037,,39.589303700000002,-106.064467600000000,start,48.014493989134351,"CDOT West Line (DAILY)(Bustang),","5.719,",5.719
-106.0649606,39.5893992,,39.589399200000003,-106.064960600000006,end,48.014493989134351,"CDOT West Line (DAILY)(Bustang),","5.755,",5.755
-106.0853239,39.5618382,Peaks Trail,39.561838199999997,-106.085323900000006,start,3765.581249076623408,"CDOT West Line (DAILY)(Bustang),","4.061,",4.061
-106.0759586,39.5394822,Peaks Trail,39.539482200000002,-106.075958600000007,end,3765.581249076623408,"CDOT West Line (DAILY)(Bustang),","7.529,",7.529
-106.0969399,39.579366,Unknown Path,39.579366000000000,-106.096939899999995,start,103.321850644110299,"CDOT West Line (DAILY)(Bustang),","1.683,",1.683
